Date,Home_Team,Away_Team,Period,Clock,Home_Team_Skaters,Away_Team_Skaters,Home_Team_Goals,Away_Team_Goals,Team,Player_Id,Event,X_Coordinate,Y_Coordinate,Detail_1,Detail_2,Detail_3,Detail_4,Player_Id_2,X_Coordinate_2,Y_Coordinate_2
2025-10-11,Team D,Team A,1,20:00,5,5,0,0,Team D,77,Faceoff Win,0.0,0.5,Backhand,,0,0,63,,
2025-10-11,Team D,Team A,1,19:57,5,5,0,0,Team D,42,Puck Recovery,-1.0,-3.5,,,0,0,,,
2025-10-11,Team D,Team A,1,19:55,5,5,0,0,Team D,42,Zone Entry,25.0,-30.5,Carried,,0,0,48,,
2025-10-11,Team D,Team A,1,19:54,5,5,0,0,Team D,42,Shot,42.0,-30.5,Wristshot,Blocked,1,0,,,
2025-10-11,Team D,Team A,1,19:52,5,5,0,0,Team A,5,Puck Recovery,93.0,11.5,,,0,0,,,
2025-10-11,Team D,Team A,1,19:52,5,5,0,0,Team A,5,Play,93.0,11.5,Indirect,,0,0,29,77.0,40.5
2025-10-11,Team D,Team A,1,19:49,5,5,0,0,Team D,42,Play,56.0,39.5,Direct,,0,0,88,32.0,39.5
2025-10-11,Team D,Team A,1,19:49,5,5,0,0,Team A,29,Play,77.0,40.5,Direct,,0,0,63,63.0,39.5
2025-10-11,Team D,Team A,1,19:49,5,5,0,0,Team D,42,Puck Recovery,56.0,39.5,,,0,0,,,
2025-10-11,Team D,Team A,1,19:46,5,5,0,0,Team D,88,Play,30.0,34.5,Direct,,0,0,42,40.0,40.5
2025-10-11,Team D,Team A,1,19:45,5,5,0,0,Team D,42,Play,33.0,36.5,Indirect,,0,0,8,94.0,9.5
2025-10-11,Team D,Team A,1,19:38,5,5,0,0,Team A,29,Puck Recovery,58.0,39.5,,,0,0,,,
2025-10-11,Team D,Team A,1,19:36,5,5,0,0,Team A,29,Play,58.0,39.5,Direct,,0,0,48,68.0,-0.5
2025-10-11,Team D,Team A,1,19:34,5,5,0,0,Team A,48,Play,68.0,-0.5,Direct,,0,0,29,40.0,9.5
2025-10-11,Team D,Team A,1,19:30,5,5,0,0,Team A,29,Zone Entry,-26.0,31.5,Carried,,0,0,88,,
2025-10-11,Team D,Team A,1,19:30,5,5,0,0,Team A,29,Play,-32.0,31.5,Direct,,0,0,63,-67.0,21.5
2025-10-11,Team D,Team A,1,19:27,5,5,0,0,Team A,29,Puck Recovery,-74.0,27.5,,,0,0,,,
2025-10-11,Team D,Team A,1,19:26,5,5,0,0,Team A,29,Shot,-79.0,8.5,Wristshot,Blocked,0,0,,,
2025-10-11,Team D,Team A,1,19:24,5,5,0,0,Team A,29,Puck Recovery,-63.0,-37.5,,,0,0,,,
2025-10-11,Team D,Team A,1,19:21,5,5,0,0,Team A,29,Play,-34.0,-39.5,Indirect,,0,0,92,-95.0,-13.5
2025-10-11,Team D,Team A,1,19:19,5,5,0,0,Team D,52,Puck Recovery,-96.0,-12.5,,,0,0,,,
2025-10-11,Team D,Team A,1,19:19,5,5,0,0,Team D,52,Incomplete Play,-96.0,-12.5,Indirect,,0,0,8,-75.0,37.5
2025-10-11,Team D,Team A,1,19:17,5,5,0,0,Team A,59,Puck Recovery,-69.0,39.5,,,0,0,,,
2025-10-11,Team D,Team A,1,19:17,5,5,0,0,Team A,59,Play,-69.0,39.5,Indirect,,0,0,92,-82.0,35.5
2025-10-11,Team D,Team A,1,19:16,5,5,0,0,Team A,92,Play,-82.0,35.5,Direct,,0,0,72,-35.0,29.5
2025-10-11,Team D,Team A,1,19:16,5,5,0,0,Team A,72,Shot,-34.0,23.5,Wristshot,Missed,1,0,,,
2025-10-11,Team D,Team A,1,19:15,5,5,0,0,Team A,29,Shot,-74.0,3.5,Deflection,On Net,1,0,,,
2025-10-11,Team D,Team A,1,19:13,5,5,0,0,Team A,63,Puck Recovery,-81.0,0.5,,,0,0,,,
2025-10-11,Team D,Team A,1,19:13,5,5,0,0,Team A,63,Shot,-81.0,0.5,Wristshot,On Net,0,0,,,
2025-10-11,Team D,Team A,1,19:12,5,5,0,0,Team D,8,Puck Recovery,-72.0,3.5,,,0,0,,,
2025-10-11,Team D,Team A,1,19:10,5,5,0,0,Team D,8,Dump In/Out,-67.0,-0.5,Lost,,0,0,,,
2025-10-11,Team D,Team A,1,19:09,5,5,0,0,Team A,72,Puck Recovery,0.0,-12.5,,,0,0,,,
2025-10-11,Team D,Team A,1,19:07,5,5,0,0,Team A,72,Play,4.0,-13.5,Direct,,0,0,59,16.0,18.5
2025-10-11,Team D,Team A,1,19:05,5,5,0,0,Team A,59,Play,39.0,22.5,Direct,,0,0,72,36.0,-22.5
2025-10-11,Team D,Team A,1,19:04,5,5,0,0,Team A,72,Play,38.0,-27.5,Direct,,0,0,9,3.0,28.5
2025-10-11,Team D,Team A,1,19:00,5,5,0,0,Team D,77,Puck Recovery,25.0,40.5,,,0,0,,,
2025-10-11,Team D,Team A,1,19:00,5,5,0,0,Team D,77,Zone Entry,25.0,40.5,Carried,,0,0,59,,
2025-10-11,Team D,Team A,1,18:59,5,5,0,0,Team D,77,Incomplete Play,34.0,39.5,Indirect,,0,0,36,37.0,0.5
2025-10-11,Team D,Team A,1,18:56,5,5,0,0,Team A,72,Puck Recovery,96.0,6.5,,,0,0,,,
2025-10-11,Team D,Team A,1,18:50,5,5,0,0,Team A,72,Play,44.0,-13.5,Direct,,0,0,20,4.0,-31.5
2025-10-11,Team D,Team A,1,18:48,5,5,0,0,Team A,20,Zone Entry,-26.0,-38.5,Carried,,0,0,51,,
2025-10-11,Team D,Team A,1,18:47,5,5,0,0,Team A,20,Play,-45.0,-38.5,Indirect,,0,0,39,-39.0,-37.5
2025-10-11,Team D,Team A,1,18:46,5,5,0,0,Team A,39,Incomplete Play,-39.0,-37.5,Indirect,,0,0,20,-50.0,-15.5
2025-10-11,Team D,Team A,1,18:45,5,5,0,0,Team D,51,Puck Recovery,-63.0,-35.5,,,0,0,,,
2025-10-11,Team D,Team A,1,18:43,5,5,0,0,Team D,51,Play,-52.0,-36.5,Direct,,0,0,46,6.0,-22.5
2025-10-11,Team D,Team A,1,18:41,5,5,0,0,Team D,46,Zone Entry,25.0,-31.5,Carried,,0,0,45,,
2025-10-11,Team D,Team A,1,18:38,5,5,0,0,Team D,46,Play,40.0,-37.5,Indirect,,0,0,36,66.0,-37.5
2025-10-11,Team D,Team A,1,18:32,5,5,0,0,Team D,36,Play,74.0,-27.5,Direct,,0,0,28,69.0,-2.5
2025-10-11,Team D,Team A,1,18:31,5,5,0,0,Team D,28,Play,69.0,-2.5,Direct,,0,0,46,47.0,-14.5
2025-10-11,Team D,Team A,1,18:30,5,5,0,0,Team D,46,Play,44.0,-31.5,Direct,,0,0,51,33.0,-8.5
2025-10-11,Team D,Team A,1,18:29,5,5,0,0,Team D,51,Play,37.0,-15.5,Indirect,,0,0,36,69.0,38.5
2025-10-11,Team D,Team A,1,18:26,5,5,0,0,Team A,3,Incomplete Play,71.0,38.5,Indirect,,0,0,9,55.0,39.5
2025-10-11,Team D,Team A,1,18:26,5,5,0,0,Team A,3,Puck Recovery,71.0,38.5,,,0,0,,,
2025-10-11,Team D,Team A,1,18:25,5,5,0,0,Team D,84,Puck Recovery,28.0,39.5,,,0,0,,,
2025-10-11,Team D,Team A,1,18:24,5,5,0,0,Team D,84,Play,28.0,39.5,Direct,,0,0,51,23.0,-28.5
2025-10-11,Team D,Team A,1,18:19,5,5,0,0,Team D,51,Play,-41.0,-1.5,Indirect,,0,0,28,7.0,-33.5
2025-10-11,Team D,Team A,1,18:17,5,5,0,0,Team D,28,Play,7.0,-33.5,Direct,,0,0,46,5.0,-21.5
2025-10-11,Team D,Team A,1,18:16,5,5,0,0,Team D,46,Incomplete Play,13.0,-8.5,Direct,,0,0,51,24.0,18.5
2025-10-11,Team D,Team A,1,18:15,5,5,0,0,Team D,46,Puck Recovery,14.0,4.5,,,0,0,,,
2025-10-11,Team D,Team A,1,18:14,5,5,0,0,Team D,46,Zone Entry,24.0,22.5,Dumped,,0,0,3,,
2025-10-11,Team D,Team A,1,18:14,5,5,0,0,Team D,46,Dump In/Out,15.0,16.5,Lost,,0,0,,,
2025-10-11,Team D,Team A,1,18:10,5,5,0,0,Team A,45,Puck Recovery,93.0,-18.5,,,0,0,,,
2025-10-11,Team D,Team A,1,18:06,5,5,0,0,Team A,45,Play,58.0,-14.5,Direct,,0,0,3,36.0,38.5
2025-10-11,Team D,Team A,1,18:02,5,5,0,0,Team A,3,Incomplete Play,38.0,39.5,Indirect,,0,0,61,-12.0,39.5
2025-10-11,Team D,Team A,1,17:59,5,5,0,0,Team D,12,Faceoff Win,69.0,22.5,Backhand,,0,0,88,,
2025-10-11,Team D,Team A,1,17:58,5,5,0,0,Team D,37,Puck Recovery,56.0,28.5,,,0,0,,,
2025-10-11,Team D,Team A,1,17:58,5,5,0,0,Team D,37,Shot,55.0,22.5,Wristshot,On Net,1,0,,,
2025-10-11,Team D,Team A,1,17:56,5,5,0,0,Team A,88,Faceoff Win,69.0,22.5,Backhand,,0,0,12,,
2025-10-11,Team D,Team A,1,17:55,5,5,0,0,Team A,48,Play,73.0,12.5,Direct,,0,0,5,81.0,30.5
2025-10-11,Team D,Team A,1,17:55,5,5,0,0,Team A,48,Puck Recovery,73.0,12.5,,,0,0,,,
2025-10-11,Team D,Team A,1,17:54,5,5,0,0,Team A,5,Play,81.0,30.5,Direct,,0,0,48,92.0,12.5
2025-10-11,Team D,Team A,1,17:51,5,5,0,0,Team A,48,Play,90.0,-23.5,Direct,,0,0,46,36.0,-32.5
2025-10-11,Team D,Team A,1,17:50,5,5,0,0,Team D,79,Play,33.0,-34.5,Direct,,0,0,63,49.0,-34.5
2025-10-11,Team D,Team A,1,17:50,5,5,0,0,Team D,79,Puck Recovery,33.0,-34.5,,,0,0,,,
2025-10-11,Team D,Team A,1,17:49,5,5,0,0,Team D,63,Incomplete Play,49.0,-34.5,Direct,,0,0,37,55.0,-14.5
2025-10-11,Team D,Team A,1,17:46,5,5,0,0,Team A,88,Puck Recovery,70.0,39.5,,,0,0,,,
2025-10-11,Team D,Team A,1,17:45,5,5,0,0,Team D,63,Takeaway,46.0,39.5,,,0,0,,,
2025-10-11,Team D,Team A,1,17:43,5,5,0,0,Team D,63,Play,43.0,39.5,Direct,,0,0,37,53.0,35.5
2025-10-11,Team D,Team A,1,17:42,5,5,0,0,Team D,37,Play,51.0,34.5,Indirect,,0,0,12,51.0,34.5
2025-10-11,Team D,Team A,1,17:37,5,5,0,0,Team D,12,Play,39.0,38.5,Indirect,,0,0,63,96.0,7.5
2025-10-11,Team D,Team A,1,17:33,5,5,0,0,Team A,14,Faceoff Win,69.0,22.5,Backhand,,0,0,25,,
2025-10-11,Team D,Team A,1,17:31,5,5,0,0,Team A,5,Play,81.0,36.5,Indirect,,0,0,48,97.0,-0.5
2025-10-11,Team D,Team A,1,17:31,5,5,0,0,Team A,5,Puck Recovery,79.0,37.5,,,0,0,,,
2025-10-11,Team D,Team A,1,17:28,5,5,0,0,Team A,71,Play,76.0,-37.5,Indirect,,0,0,48,93.0,-20.5
2025-10-11,Team D,Team A,1,17:28,5,5,0,0,Team A,71,Puck Recovery,76.0,-37.5,,,0,0,,,
2025-10-11,Team D,Team A,1,17:27,5,5,0,0,Team A,48,Play,93.0,-20.5,Indirect,,0,0,5,97.0,5.5
2025-10-11,Team D,Team A,1,17:25,5,5,0,0,Team A,5,Incomplete Play,94.0,20.5,Direct,,0,0,17,34.0,38.5
2025-10-11,Team D,Team A,1,17:21,5,5,0,0,Team A,14,Faceoff Win,69.0,22.5,Backhand,,0,0,25,,
2025-10-11,Team D,Team A,1,17:20,5,5,0,0,Team A,5,Puck Recovery,80.0,15.5,,,0,0,,,
2025-10-11,Team D,Team A,1,17:18,5,5,0,0,Team A,5,Play,77.0,36.5,Direct,,0,0,71,61.0,-37.5
2025-10-11,Team D,Team A,1,17:16,5,5,0,0,Team A,71,Play,56.0,-35.5,Direct,,0,0,17,-7.0,-20.5
2025-10-11,Team D,Team A,1,17:13,5,5,0,0,Team D,84,Puck Recovery,-38.0,-20.5,,,0,0,,,
2025-10-11,Team D,Team A,1,17:12,5,5,0,0,Team D,84,Play,-63.0,-15.5,Direct,,0,0,50,-59.0,4.5
2025-10-11,Team D,Team A,1,17:07,5,5,0,0,Team D,50,Zone Entry,25.0,38.5,Carried,,0,0,72,,
2025-10-11,Team D,Team A,1,17:04,5,5,0,0,Team D,50,Puck Recovery,87.0,37.5,,,0,0,,,
2025-10-11,Team D,Team A,1,17:04,5,5,0,0,Team D,50,Play,87.0,37.5,Indirect,,0,0,75,96.0,23.5
2025-10-11,Team D,Team A,1,17:03,5,5,0,0,Team A,48,Puck Recovery,95.0,19.5,,,0,0,,,
2025-10-11,Team D,Team A,1,17:03,5,5,0,0,Team A,48,Play,95.0,19.5,Indirect,,0,0,17,50.0,40.5
2025-10-11,Team D,Team A,1,17:01,5,5,0,0,Team D,84,Puck Recovery,50.0,40.5,,,0,0,,,
2025-10-11,Team D,Team A,1,17:00,5,5,0,0,Team D,84,Incomplete Play,60.0,39.5,Direct,,0,0,75,86.0,4.5
2025-10-11,Team D,Team A,1,16:58,5,5,0,0,Team A,71,Incomplete Play,85.0,37.5,Indirect,,0,0,48,96.0,6.5
