Date,Home_Team,Away_Team,Team,Player_Id,shift_number,period,start_clock,end_clock,shift_length
2025-10-11,Team D,Team A,Team A,29,1,1,20:00,19:05,00:55
2025-10-11,Team D,Team A,Team A,48,1,1,20:00,19:27,00:33
2025-10-11,Team D,Team A,Team A,Go,1,1,20:00,00:00,20:00
2025-10-11,Team D,Team A,Team A,63,1,1,20:00,19:04,00:56
2025-10-11,Team D,Team A,Team A,5,1,1,20:00,19:27,00:33
2025-10-11,Team D,Team A,Team A,92,1,1,20:00,19:00,01:00
2025-10-11,Team D,Team A,Team D,42,1,1,20:00,19:05,00:55
2025-10-11,Team D,Team A,Team D,52,1,1,20:00,18:56,01:04
2025-10-11,Team D,Team A,Team D,88,1,1,20:00,19:01,00:59
2025-10-11,Team D,Team A,Team D,Go,1,1,20:00,00:00,20:00
2025-10-11,Team D,Team A,Team D,77,1,1,20:00,18:51,01:09
2025-10-11,Team D,Team A,Team D,8,1,1,20:00,18:56,01:04
2025-10-11,Team D,Team A,Team A,59,1,1,19:27,18:45,00:42
2025-10-11,Team D,Team A,Team A,72,1,1,19:27,18:42,00:45
2025-10-11,Team D,Team A,Team A,39,1,1,19:05,18:06,00:59
2025-10-11,Team D,Team A,Team D,36,1,1,19:05,18:04,01:01
2025-10-11,Team D,Team A,Team A,9,1,1,19:04,18:18,00:46
2025-10-11,Team D,Team A,Team D,51,1,1,19:01,18:06,00:55
2025-10-11,Team D,Team A,Team A,20,1,1,19:00,18:15,00:45
2025-10-11,Team D,Team A,Team D,84,1,1,18:56,18:06,00:50
2025-10-11,Team D,Team A,Team D,46,1,1,18:56,18:08,00:48
2025-10-11,Team D,Team A,Team D,28,1,1,18:51,18:08,00:43
2025-10-11,Team D,Team A,Team A,45,1,1,18:45,17:56,00:49
2025-10-11,Team D,Team A,Team A,3,1,1,18:42,17:56,00:46
2025-10-11,Team D,Team A,Team A,61,1,1,18:18,17:33,00:45
2025-10-11,Team D,Team A,Team A,46,1,1,18:15,17:33,00:42
2025-10-11,Team D,Team A,Team D,63,1,1,18:08,17:33,00:35
