Game,Event,Attacking_Team,Defending_Team,Time_Elapsed,Atk_Active_20s,Def_Active_20s,Activation_Gap_20s,Atk_C0_Slot_20s,Atk_C1_Battle_20s,Atk_C3_Possess_20s,Atk_C5_Crease_20s,Def_C0_Slot_20s,Def_C1_Battle_20s,Def_C3_Possess_20s,Def_C5_Crease_20s,Atk_Active_10s,Def_Active_10s,Activation_Gap_10s,Atk_C0_Slot_10s,Atk_C1_Battle_10s,Atk_C3_Possess_10s,Atk_C5_Crease_10s,Def_C0_Slot_10s,Def_C1_Battle_10s,Def_C3_Possess_10s,Def_C5_Crease_10s,Atk_Active_5s,Def_Active_5s,Activation_Gap_5s,Atk_C0_Slot_5s,Atk_C1_Battle_5s,Atk_C3_Possess_5s,Atk_C5_Crease_5s,Def_C0_Slot_5s,Def_C1_Battle_5s,Def_C3_Possess_5s,Def_C5_Crease_5s,Atk_Active_2s,Def_Active_2s,Activation_Gap_2s,Atk_C0_Slot_2s,Atk_C1_Battle_2s,Atk_C3_Possess_2s,Atk_C5_Crease_2s,Def_C0_Slot_2s,Def_C1_Battle_2s,Def_C3_Possess_2s,Def_C5_Crease_2s,Atk_Active_1s,Def_Active_1s,Activation_Gap_1s,Atk_C0_Slot_1s,Atk_C1_Battle_1s,Atk_C3_Possess_1s,Atk_C5_Crease_1s,Def_C0_Slot_1s,Def_C1_Battle_1s,Def_C3_Possess_1s,Def_C5_Crease_1s
TeamA@TeamD,Shot,Team D,Team A,6,1.83,1.75,0.08,0.0,1.3333333333333333,0.5,0.0,0.16666666666666666,1.3333333333333333,0.25,0.0,1.83,1.75,0.08,0.0,1.3333333333333333,0.5,0.0,0.16666666666666666,1.3333333333333333,0.25,0.0,2.0,1.9,0.1,0.0,1.6,0.4,0.0,0.2,1.4,0.3,0.0,3.2,2.6,0.6,0.0,2.6,0.6,0.0,0.4,1.6,0.6,0.0,3.67,3.0,0.67,0.0,3.0,0.6666666666666666,0.0,0.6666666666666666,1.3333333333333333,1.0,0.0
TeamA@TeamD,Shot,Team A,Team D,34,2.94,1.78,1.16,0.8235294117647058,1.2745098039215685,0.7058823529411765,0.13725490196078433,0.4117647058823529,1.2352941176470589,0.0196078431372549,0.11764705882352941,2.16,1.32,0.84,0.3870967741935484,0.9354838709677419,0.7419354838709677,0.0967741935483871,0.3548387096774194,0.9032258064516129,0.0,0.06451612903225806,1.94,1.71,0.24,0.35294117647058826,0.9411764705882353,0.5294117647058824,0.11764705882352941,0.5882352941176471,1.0,0.0,0.11764705882352941,2.29,2.71,-0.43,0.8571428571428571,0.7142857142857143,0.5714285714285714,0.14285714285714285,1.4285714285714286,1.0,0.0,0.2857142857142857,2.25,3.25,-1.0,1.5,0.25,0.25,0.25,2.0,0.75,0.0,0.5
TeamA@TeamD,Shot,Team A,Team D,44,1.85,1.75,0.1,0.6271186440677966,0.6779661016949152,0.4915254237288136,0.05084745762711865,0.6440677966101694,0.8813559322033898,0.03389830508474576,0.1864406779661017,1.55,2.31,-0.76,0.9310344827586207,0.3793103448275862,0.20689655172413793,0.034482758620689655,1.0344827586206897,0.8620689655172413,0.06896551724137931,0.3448275862068966,1.36,2.14,-0.79,0.7857142857142857,0.42857142857142855,0.14285714285714285,0.0,0.7142857142857143,1.2142857142857142,0.07142857142857142,0.14285714285714285,1.8,2.0,-0.2,1.0,0.8,0.0,0.0,0.8,1.2,0.0,0.0,2.0,2.33,-0.33,1.3333333333333333,0.6666666666666666,0.0,0.0,1.0,1.3333333333333333,0.0,0.0
TeamA@TeamD,Shot,Team A,Team D,45,1.84,1.88,-0.03,0.6379310344827587,0.6724137931034483,0.4827586206896552,0.05172413793103448,0.6896551724137931,0.9482758620689655,0.034482758620689655,0.20689655172413793,1.47,2.17,-0.7,0.8,0.43333333333333335,0.23333333333333334,0.0,0.9,0.9,0.06666666666666667,0.3,1.58,2.25,-0.67,0.9166666666666666,0.5833333333333334,0.08333333333333333,0.0,0.6666666666666666,1.25,0.08333333333333333,0.25,1.83,2.17,-0.33,1.0,0.6666666666666666,0.16666666666666666,0.0,0.8333333333333334,1.1666666666666667,0.0,0.16666666666666666,1.75,2.25,-0.5,1.0,0.5,0.25,0.0,1.0,1.0,0.0,0.25
TeamA@TeamD,Shot,Team A,Team D,47,1.84,2.0,-0.16,0.7192982456140351,0.631578947368421,0.42105263157894735,0.07017543859649122,0.7368421052631579,0.9298245614035088,0.05263157894736842,0.2807017543859649,1.57,2.18,-0.61,0.7857142857142857,0.5,0.25,0.03571428571428571,0.8214285714285714,1.0357142857142858,0.07142857142857142,0.25,2.0,2.25,-0.25,1.0,0.75,0.16666666666666666,0.08333333333333333,0.75,1.0,0.08333333333333333,0.4166666666666667,2.8,3.0,-0.2,1.2,1.0,0.4,0.2,0.8,1.0,0.2,1.0,2.67,3.0,-0.33,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0
TeamA@TeamD,Shot,Team D,Team A,122,1.8,1.9,-0.1,0.6271186440677966,0.7457627118644068,0.3220338983050847,0.1016949152542373,0.6949152542372882,0.847457627118644,0.1864406779661017,0.1694915254237288,1.32,2.08,-0.76,0.32,0.56,0.32,0.12,0.88,0.76,0.16,0.28,1.08,1.54,-0.46,0.3076923076923077,0.38461538461538464,0.3076923076923077,0.07692307692307693,0.8461538461538461,0.5384615384615384,0.07692307692307693,0.07692307692307693,0.6,1.2,-0.6,0.0,0.4,0.2,0.0,0.4,0.8,0.0,0.0,0.67,1.0,-0.33,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0
TeamA@TeamD,Shot,Team A,Team D,223,1.91,2.03,-0.12,0.43478260869565216,1.1159420289855073,0.2753623188405797,0.08695652173913043,0.5507246376811594,1.2608695652173914,0.2028985507246377,0.014492753623188406,2.0,1.6,0.4,0.5714285714285714,0.9142857142857143,0.42857142857142855,0.08571428571428572,0.2857142857142857,1.2,0.11428571428571428,0.0,2.35,2.06,0.29,0.9411764705882353,0.8823529411764706,0.5294117647058824,0.0,0.5882352941176471,1.3529411764705883,0.11764705882352941,0.0,2.43,2.0,0.43,1.2857142857142858,0.7142857142857143,0.42857142857142855,0.0,0.8571428571428571,1.0,0.14285714285714285,0.0,1.8,1.8,0.0,1.0,0.6,0.2,0.0,0.4,1.2,0.2,0.0
TeamA@TeamD,Shot,Team A,Team D,228,2.06,1.94,0.11,0.5428571428571428,1.0285714285714285,0.3,0.18571428571428572,0.6285714285714286,1.0857142857142856,0.14285714285714285,0.08571428571428572,2.5,2.34,0.16,0.96875,0.78125,0.4375,0.3125,1.09375,1.03125,0.0625,0.15625,2.75,2.62,0.12,1.0625,0.6875,0.375,0.625,1.625,0.6875,0.0,0.3125,3.0,2.75,0.25,1.125,0.75,0.5,0.625,1.5,1.0,0.0,0.25,2.0,2.2,-0.2,0.6,0.6,0.4,0.4,1.0,1.0,0.0,0.2
TeamA@TeamD,Shot,Team A,Team D,235,1.79,2.16,-0.37,0.5735294117647058,0.7058823529411765,0.3235294117647059,0.19117647058823528,0.7941176470588235,1.1470588235294117,0.10294117647058823,0.11764705882352941,1.74,2.57,-0.83,0.4857142857142857,0.6857142857142857,0.2857142857142857,0.2857142857142857,1.0571428571428572,1.2285714285714286,0.08571428571428572,0.2,1.25,2.56,-1.31,0.125,0.8125,0.3125,0.0,0.8125,1.5625,0.1875,0.0,2.2,3.4,-1.2,0.2,1.2,0.8,0.0,0.8,2.6,0.0,0.0,1.67,3.33,-1.67,0.0,1.0,0.6666666666666666,0.0,1.0,2.3333333333333335,0.0,0.0
TeamA@TeamD,Shot,Team D,Team A,285,1.27,1.01,0.25,0.09333333333333334,0.8133333333333334,0.3333333333333333,0.02666666666666667,0.16,0.7333333333333333,0.12,0.0,1.22,1.0,0.22,0.1111111111111111,0.7777777777777778,0.3333333333333333,0.0,0.2777777777777778,0.6944444444444444,0.027777777777777776,0.0,1.35,1.3,0.05,0.1,1.0,0.25,0.0,0.4,0.9,0.0,0.0,2.12,2.75,-0.62,0.25,1.75,0.125,0.0,1.0,1.75,0.0,0.0,2.2,3.4,-1.2,0.4,1.6,0.2,0.0,1.6,1.8,0.0,0.0
TeamA@TeamD,Shot,Team A,Team D,347,1.66,1.63,0.03,0.27941176470588236,0.9705882352941176,0.3088235294117647,0.10294117647058823,0.4411764705882353,1.0735294117647058,0.07352941176470588,0.04411764705882353,2.06,1.81,0.26,0.3548387096774194,1.096774193548387,0.41935483870967744,0.1935483870967742,0.5806451612903226,1.064516129032258,0.0967741935483871,0.06451612903225806,2.29,2.06,0.24,0.29411764705882354,1.1176470588235294,0.5294117647058824,0.35294117647058826,0.7058823529411765,1.1764705882352942,0.11764705882352941,0.058823529411764705,1.75,2.0,-0.25,0.125,0.5,0.5,0.625,0.875,0.75,0.25,0.125,1.75,1.75,0.0,0.25,0.25,0.5,0.75,0.75,0.25,0.5,0.25
TeamA@TeamD,Shot,Team A,Team D,406,1.85,2.52,-0.67,0.373134328358209,1.0746268656716418,0.26865671641791045,0.13432835820895522,0.9701492537313433,1.2388059701492538,0.08955223880597014,0.22388059701492538,2.03,3.15,-1.12,0.5151515151515151,0.9393939393939394,0.30303030303030304,0.2727272727272727,1.4848484848484849,1.3333333333333333,0.12121212121212122,0.21212121212121213,2.15,2.95,-0.8,0.65,0.8,0.25,0.45,1.55,1.0,0.05,0.35,2.86,3.43,-0.57,0.8571428571428571,0.7142857142857143,0.2857142857142857,1.0,1.8571428571428572,1.0,0.14285714285714285,0.42857142857142855,3.0,3.25,-0.25,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.25
TeamA@TeamD,Shot,Team A,Team D,427,1.92,2.13,-0.21,0.6349206349206349,0.8095238095238095,0.3492063492063492,0.12698412698412698,0.7936507936507936,0.7777777777777778,0.3333333333333333,0.2222222222222222,2.27,2.33,-0.06,0.9696969696969697,0.8787878787878788,0.3333333333333333,0.09090909090909091,1.121212121212121,0.6363636363636364,0.3333333333333333,0.24242424242424243,2.47,2.35,0.12,1.0588235294117647,0.9411764705882353,0.35294117647058826,0.11764705882352941,1.3529411764705883,0.5294117647058824,0.35294117647058826,0.11764705882352941,2.62,2.38,0.25,1.0,1.25,0.375,0.0,1.25,1.125,0.0,0.0,3.0,2.0,1.0,1.2,1.2,0.6,0.0,1.2,0.8,0.0,0.0
TeamA@TeamD,Shot,Team D,Team A,472,1.69,2.25,-0.56,0.5294117647058824,0.8088235294117647,0.25,0.10294117647058823,0.8529411764705882,0.9705882352941176,0.22058823529411764,0.20588235294117646,2.28,2.59,-0.31,0.71875,1.03125,0.34375,0.1875,0.96875,1.125,0.3125,0.1875,1.71,2.33,-0.62,0.42857142857142855,0.8095238095238095,0.19047619047619047,0.2857142857142857,0.6666666666666666,1.0,0.38095238095238093,0.2857142857142857,2.0,2.56,-0.56,0.4444444444444444,1.1111111111111112,0.2222222222222222,0.2222222222222222,0.7777777777777778,1.1111111111111112,0.6666666666666666,0.0,1.4,2.4,-1.0,0.8,0.6,0.0,0.0,0.8,1.0,0.6,0.0
TeamA@TeamD,Shot,Team A,Team D,500,1.32,1.61,-0.29,0.2631578947368421,0.7894736842105263,0.2236842105263158,0.039473684210526314,0.39473684210526316,0.868421052631579,0.27631578947368424,0.06578947368421052,1.41,1.8,-0.39,0.34146341463414637,0.7804878048780488,0.24390243902439024,0.04878048780487805,0.4878048780487805,1.0,0.24390243902439024,0.07317073170731707,1.42,2.47,-1.05,0.21052631578947367,0.8947368421052632,0.2631578947368421,0.05263157894736842,0.6842105263157895,1.3157894736842106,0.42105263157894735,0.05263157894736842,2.71,4.14,-1.43,0.5714285714285714,1.4285714285714286,0.5714285714285714,0.14285714285714285,1.1428571428571428,2.2857142857142856,0.5714285714285714,0.14285714285714285,3.0,4.5,-1.5,0.75,1.5,0.5,0.25,1.5,2.25,0.5,0.25
